         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.310    0.310   35.662   35.662 C:\Users\hjmne\PycharmProjects\chest\processing.py:364(process_events)
        1    0.233    0.233   31.898   31.898 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:107(run_next_event)
   158774    0.547    0.000   22.230    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:1172(post_journal_entry)
   158774    1.079    0.000   19.659    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\tools\datetimes.py:673(to_datetime)
    26605    0.337    0.000   18.868    0.001 C:\Users\hjmne\PycharmProjects\chest\currency_domain.py:85(settle_single_flow_out)
   158774    0.824    0.000   14.406    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\tools\datetimes.py:314(_convert_listlike_datetimes)
   158774    0.265    0.000    9.782    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\tools\datetimes.py:259(_box_as_indexlike)
   158774    0.598    0.000    9.517    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\datetimes.py:320(__new__)
    29998    7.458    0.000    7.575    0.000 C:\Users\hjmne\PycharmProjects\chest\currency_domain.py:10(open_close_cash)
   158774    1.098    0.000    7.428    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:329(_from_sequence_not_strict)
    26605    0.125    0.000    7.134    0.000 C:\Users\hjmne\PycharmProjects\chest\equity_domain.py:243(buy_equity)
   158774    1.049    0.000    4.112    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:2184(_sequence_to_dt64)
   317548    0.601    0.000    4.083    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:2428(maybe_convert_dtype)
7393020/7392184    2.467    0.000    3.819    0.000 {built-in method builtins.isinstance}
     3393    0.058    0.000    2.847    0.001 C:\Users\hjmne\PycharmProjects\chest\equity_domain.py:264(sell_equity)
   119992    0.076    0.000    2.815    0.000 {built-in method strptime}
     3393    0.041    0.000    2.773    0.001 C:\Users\hjmne\PycharmProjects\chest\currency_domain.py:145(settle_single_flow_in)
   119992    0.276    0.000    2.739    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\_strptime.py:564(_strptime_datetime)
   159612    0.294    0.000    2.635    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
   119992    1.443    0.000    2.464    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\_strptime.py:309(_strptime)
   158774    0.348    0.000    2.300    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimelike.py:371(__getitem__)
   317548    0.848    0.000    2.246    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:1163(is_float_dtype)
   158774    0.243    0.000    1.937    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\_mixins.py:278(__getitem__)
   158774    0.838    0.000    1.694    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:545(_box_func)
   158774    1.046    0.000    1.603    0.000 C:\Users\hjmne\PycharmProjects\chest\utilities.py:373(adjust_to_next_business_day)
   158774    1.339    0.000    1.390    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:2354(objects_to_datetime64)
   158774    0.320    0.000    1.349    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimelike.py:2423(ensure_arraylike_for_datetimelike)
   477158    0.493    0.000    1.242    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:1375(_is_dtype)
   318384    0.369    0.000    1.170    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:1198(is_bool_dtype)
  1277716    0.663    0.000    1.102    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
   317966    0.820    0.000    0.820    0.000 {built-in method numpy.array}
   159610    0.166    0.000    0.804    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:536(is_string_dtype)
   159192    0.492    0.000    0.666    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:649(_simple_new)
